,Date,Canton,Cases,id,Population,CasesPer100k
0,2020-03-06,AG,10.0,808,678207,1.47
1,2020-03-06,AI,0.0,3399,16145,0.0
2,2020-03-06,AR,1.0,3398,55234,1.81
3,2020-03-06,BE,20.0,3228,1034977,1.93
4,2020-03-06,BL,9.0,810,288132,3.12
5,2020-03-06,BS,17.0,809,194766,8.73
6,2020-03-06,FR,7.0,3235,318714,2.2
7,2020-03-06,GE,17.0,820,495249,3.43
8,2020-03-06,GL,0.0,3233,40403,0.0
9,2020-03-06,GR,13.0,406,198379,6.55
10,2020-03-06,JU,1.0,817,73419,1.36
11,2020-03-06,LU,2.0,3229,409557,0.49
12,2020-03-06,NE,8.0,824,177964,4.5
13,2020-03-06,NW,0.0,3234,43223,0.0
14,2020-03-06,OW,0.0,3236,37841,0.0
15,2020-03-06,SG,1.0,813,507697,0.2
16,2020-03-06,SH,0.0,805,81991,0.0
17,2020-03-06,SO,1.0,816,273194,0.37
18,2020-03-06,SZ,7.0,3232,159165,4.4
19,2020-03-06,TG,1.0,806,276472,0.36
20,2020-03-06,TI,37.0,403,353343,10.47
21,2020-03-06,UR,0.0,3231,36433,0.0
22,2020-03-06,VD,23.0,822,799145,2.88
23,2020-03-06,VS,4.0,401,343955,1.16
24,2020-03-06,ZG,5.0,3230,126837,3.94
25,2020-03-06,ZH,24.0,807,1520968,1.58
26,2020-03-07,AG,14.0,808,678207,2.06
27,2020-03-07,AI,0.0,3399,16145,0.0
28,2020-03-07,AR,1.0,3398,55234,1.81
29,2020-03-07,BE,25.0,3228,1034977,2.42
30,2020-03-07,BL,13.0,810,288132,4.51
31,2020-03-07,BS,22.0,809,194766,11.3
32,2020-03-07,FR,7.0,3235,318714,2.2
33,2020-03-07,GE,26.0,820,495249,5.25
34,2020-03-07,GL,0.0,3233,40403,0.0
35,2020-03-07,GR,15.0,406,198379,7.56
36,2020-03-07,JU,3.0,817,73419,4.09
37,2020-03-07,LU,4.0,3229,409557,0.98
38,2020-03-07,NE,11.0,824,177964,6.18
39,2020-03-07,NW,0.0,3234,43223,0.0
40,2020-03-07,OW,0.0,3236,37841,0.0
41,2020-03-07,SG,1.0,813,507697,0.2
42,2020-03-07,SH,0.0,805,81991,0.0
43,2020-03-07,SO,1.0,816,273194,0.37
44,2020-03-07,SZ,7.0,3232,159165,4.4
45,2020-03-07,TG,1.0,806,276472,0.36
46,2020-03-07,TI,43.0,403,353343,12.17
47,2020-03-07,UR,0.0,3231,36433,0.0
48,2020-03-07,VD,30.0,822,799145,3.75
49,2020-03-07,VS,5.0,401,343955,1.45
50,2020-03-07,ZG,6.0,3230,126837,4.73
